grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
x, dfid, pancake16, '15 7 1 8 10 9 11 4 0 5 2 3 14 12 6 13', na, na, na, na 
x, dfid, pancake16, '9 6 2 0 15 7 13 12 3 8 11 4 1 5 14 10', na, na, na, na 
x, dfid, pancake16, '1 12 13 9 7 6 15 14 0 2 3 4 5 11 10 8', na, na, na, na 
x, dfid, pancake16, '3 4 5 6 7 8 9 10 11 12 15 14 13 0 1 2', 4, 507979, 0.033979, 1.49498e+07
x, dfid, pancake16, '4 3 12 11 10 0 9 2 5 1 8 7 6 13 14 15', na, na, na, na 
x, dfid, pancake16, '1 13 0 2 9 12 11 8 14 15 4 5 6 7 3 10', na, na, na, na 
x, dfid, pancake16, '14 3 0 10 1 9 8 7 2 5 4 15 12 13 6 11', na, na, na, na 
x, dfid, pancake16, '11 12 14 13 10 9 8 0 1 2 3 4 5 6 7 15', 4, 132816, 0.011417, 1.16332e+07
x, dfid, pancake16, '14 15 13 10 9 8 11 12 7 6 5 4 3 2 1 0', 6, 12362330, 1.01047, 1.22342e+07
x, dfid, pancake16, '13 12 11 10 9 8 7 6 5 4 3 2 1 0 14 15', 1, 197, 2.4e-05, 8.20833e+06
x, dfid, pancake16, '4 8 6 2 3 0 13 14 7 9 11 1 12 5 15 10', na, na, na, na 
x, dfid, pancake16, '5 0 1 2 3 4 12 13 14 15 6 7 8 9 10 11', 4, 418795, 0.031693, 1.32141e+07
x, dfid, pancake16, '1 0 8 9 10 7 11 2 3 12 13 14 4 5 6 15', 7, 751159481, 56.8415, 1.3215e+07
x, dfid, pancake16, '4 5 3 2 1 0 6 7 8 9 10 11 12 13 14 15', 2, 288, 3e-05, 9.6e+06
x, dfid, pancake16, '9 10 8 7 6 3 2 1 0 4 5 11 12 13 14 15', 4, 72196, 0.005238, 1.37831e+07
x, dfid, pancake16, '5 4 3 2 1 0 6 7 8 9 12 11 10 13 14 15', 4, 242767, 0.018308, 1.32602e+07
x, dfid, pancake16, '15 0 1 3 2 5 6 12 11 10 9 8 7 4 14 13', na, na, na, na 
x, dfid, pancake16, '6 7 12 11 10 9 8 5 4 3 2 1 0 13 14 15', 3, 18946, 0.001352, 1.40133e+07
x, dfid, pancake16, '3 1 0 6 5 4 2 7 8 9 10 11 12 13 14 15', 5, 3032303, 0.217407, 1.39476e+07
x, dfid, pancake16, '7 8 9 10 6 5 4 3 0 1 2 11 12 13 14 15', 3, 11004, 0.000789, 1.39468e+07
x, dfid, pancake16, '15 3 4 5 6 7 8 2 1 0 10 11 12 13 14 9', 6, 57003363, 4.33745, 1.31421e+07
x, dfid, pancake16, '2 3 4 11 14 10 7 0 5 1 13 12 8 9 6 15', na, na, na, na 
x, dfid, pancake16, '9 8 7 6 5 10 3 2 1 0 11 14 13 12 4 15', 6, 40038567, 2.98143, 1.34293e+07
x, dfid, pancake16, '10 9 4 14 15 3 0 7 12 6 1 8 11 13 5 2', na, na, na, na 
x, dfid, pancake16, '2 1 0 14 3 4 5 6 7 8 9 10 11 12 13 15', 3, 12013, 0.000884, 1.35894e+07
x, dfid, pancake16, '4 3 1 2 0 12 5 6 7 8 11 13 14 10 9 15', na, na, na, na 
x, dfid, pancake16, '3 7 6 5 14 0 1 2 4 8 9 10 13 12 11 15', 7, 854335743, 64.6096, 1.32231e+07
x, dfid, pancake16, '6 7 5 4 3 2 1 0 8 9 10 11 12 13 14 15', 2, 318, 3.2e-05, 9.9375e+06
x, dfid, pancake16, '0 5 1 8 3 4 15 2 6 12 14 10 11 9 7 13', na, na, na, na 
x, dfid, pancake16, '10 9 6 0 1 5 7 8 4 3 2 11 12 13 14 15', 6, 84557064, 6.45638, 1.30967e+07
x, dfid, pancake16, '15 14 13 12 11 10 9 8 7 6 5 4 3 0 1 2', 2, 3211, 0.00031, 1.03581e+07
x, dfid, pancake16, '1 2 3 4 5 6 7 8 9 10 11 12 13 0 14 15', 2, 2728, 0.000247, 1.10445e+07
x, dfid, pancake16, '7 11 12 13 14 10 9 8 6 5 4 3 2 1 0 15', 4, 310924, 0.02706, 1.14902e+07
x, dfid, pancake16, '3 12 0 8 7 9 11 10 13 6 5 15 14 2 1 4', na, na, na, na 
x, dfid, pancake16, '1 0 8 7 6 5 4 3 2 9 10 11 12 13 14 15', 4, 66559, 0.004827, 1.37889e+07
x, dfid, pancake16, '10 0 1 9 14 3 2 12 8 7 13 15 6 5 4 11', na, na, na, na 
